,Nama Dataset,Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,RMSE Training,RMSE Testing
2,Pasar Ikan (air),"ARIMA(0,0,13)",Ya,0.000000,Tidak,0.001000,Tidak,7.3528,23.4025
3,Pasar Ikan (air),"ARIMA(0,0,14)",Tidak,0.000000,Tidak,0.001000,Tidak,7.3526,23.4018
4,Pasar Ikan (air),"ARIMA(0,0,15)",Tidak,0.000000,Tidak,0.001000,Tidak,7.3401,23.4110
0,Pasar Ikan (air),"ARIMA(1,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,8.7596,23.4550
1,Pasar Ikan (air),"ARIMA(1,0,2)",Ya,0.000000,Tidak,0.001000,Tidak,8.2626,23.4511
2,Pasar Ikan (air),"ARIMA(1,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,7.9071,23.4406
3,Pasar Ikan (air),"ARIMA(1,0,4)",Ya,0.000000,Tidak,0.001000,Tidak,7.7088,23.4355
4,Pasar Ikan (air),"ARIMA(1,0,5)",Ya,0.000000,Tidak,0.001000,Tidak,7.6145,23.4277
5,Pasar Ikan (air),"ARIMA(1,0,6)",Ya,0.000000,Tidak,0.001000,Tidak,7.5223,23.4189
6,Pasar Ikan (air),"ARIMA(1,0,7)",Ya,0.000000,Tidak,0.001000,Tidak,7.4476,23.4136
7,Pasar Ikan (air),"ARIMA(1,0,8)",Ya,0.000000,Tidak,0.001000,Tidak,7.4073,23.4104
8,Pasar Ikan (air),"ARIMA(1,0,9)",Ya,0.000000,Tidak,0.001000,Tidak,7.3871,23.4066
9,Pasar Ikan (air),"ARIMA(1,0,10)",Ya,0.000000,Tidak,0.001000,Tidak,7.4597,23.4277
10,Pasar Ikan (air),"ARIMA(1,0,11)",Tidak,0.000000,Tidak,0.001000,Tidak,7.4016,23.4206
11,Pasar Ikan (air),"ARIMA(1,0,12)",Tidak,0.000000,Tidak,0.001000,Tidak,7.3483,23.4100
12,Pasar Ikan (air),"ARIMA(1,0,13)",Tidak,0.000000,Tidak,0.001000,Tidak,7.2965,23.4067
0,Pasar Ikan (air),"ARIMA(2,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,7.3176,23.1850
1,Pasar Ikan (air),"ARIMA(2,0,2)",Ya,0.000000,Tidak,0.001000,Tidak,7.1606,23.2535
2,Pasar Ikan (air),"ARIMA(2,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,7.1508,23.2094
3,Pasar Ikan (air),"ARIMA(2,0,4)",Ya,0.000000,Tidak,0.001000,Tidak,7.1293,23.2075
4,Pasar Ikan (air),"ARIMA(2,0,5)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1249,23.2209
5,Pasar Ikan (air),"ARIMA(2,0,6)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1247,23.2153
6,Pasar Ikan (air),"ARIMA(2,0,7)",Tidak,0.000000,Tidak,0.001000,Tidak,6.7857,20.9021
7,Pasar Ikan (air),"ARIMA(2,0,8)",Tidak,0.000000,Tidak,0.001000,Tidak,6.7388,20.4991
8,Pasar Ikan (air),"ARIMA(2,0,9)",Ya,0.000000,Tidak,0.001000,Tidak,7.2822,23.4254
9,Pasar Ikan (air),"ARIMA(2,0,10)",Ya,0.000000,Tidak,0.001000,Tidak,7.2776,23.4319
0,Pasar Ikan (air),"ARIMA(2,0,11)",Ya,0.000000,Tidak,0.001000,Tidak,7.2613,23.4452
1,Pasar Ikan (air),"ARIMA(2,0,12)",Tidak,0.000000,Tidak,0.001000,Tidak,6.8694,23.0668
2,Pasar Ikan (air),"ARIMA(2,0,13)",Tidak,0.000000,Tidak,0.001000,Tidak,6.6820,22.5556
0,Pasar Ikan (air),"ARIMA(3,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,7.1617,23.1906
1,Pasar Ikan (air),"ARIMA(3,0,2)",Ya,0.000000,Tidak,0.001000,Tidak,7.1551,23.2266
2,Pasar Ikan (air),"ARIMA(3,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,7.1377,23.2176
3,Pasar Ikan (air),"ARIMA(3,0,4)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1268,23.2187
4,Pasar Ikan (air),"ARIMA(3,0,5)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1248,23.2199
5,Pasar Ikan (air),"ARIMA(3,0,6)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1248,23.2208
6,Pasar Ikan (air),"ARIMA(3,0,7)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1247,23.2157
7,Pasar Ikan (air),"ARIMA(3,0,8)",Tidak,0.000000,Tidak,0.001000,Tidak,6.7292,21.4125
8,Pasar Ikan (air),"ARIMA(3,0,9)",Tidak,0.000000,Tidak,0.001000,Tidak,7.2854,23.4214
9,Pasar Ikan (air),"ARIMA(3,0,10)",Tidak,0.000000,Tidak,0.001000,Tidak,7.2817,23.4258
0,Pasar Ikan (air),"ARIMA(4,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,7.1485,23.2343
1,Pasar Ikan (air),"ARIMA(4,0,2)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1485,23.2330
2,Pasar Ikan (air),"ARIMA(4,0,3)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1533,23.2209
3,Pasar Ikan (air),"ARIMA(4,0,4)",Ya,0.000000,Tidak,0.001000,Tidak,6.5525,25.6647
4,Pasar Ikan (air),"ARIMA(4,0,5)",Ya,0.000000,Tidak,0.001000,Tidak,6.5097,22.3463
0,Pasar Ikan (air),"ARIMA(4,0,6)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1273,23.2143
1,Pasar Ikan (air),"ARIMA(4,0,7)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1244,23.2206
0,Pasar Ikan (air),"ARIMA(5,0,1)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1482,23.2580
1,Pasar Ikan (air),"ARIMA(5,0,2)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1477,23.2486
2,Pasar Ikan (air),"ARIMA(5,0,3)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1475,23.2438
3,Pasar Ikan (air),"ARIMA(5,0,4)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1221,23.2175
4,Pasar Ikan (air),"ARIMA(5,0,5)",Ya,0.000000,Tidak,0.001000,Tidak,6.6987,22.5278
0,Pasar Ikan (air),"ARIMA(5,0,1)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1482,23.2580
1,Pasar Ikan (air),"ARIMA(5,0,2)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1477,23.2486
2,Pasar Ikan (air),"ARIMA(5,0,3)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1475,23.2438
3,Pasar Ikan (air),"ARIMA(5,0,4)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1221,23.2175
0,Pasar Ikan (air),"ARIMA(6,0,1)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1482,23.2634
1,Pasar Ikan (air),"ARIMA(6,0,2)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1481,23.2636
2,Pasar Ikan (air),"ARIMA(6,0,3)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1471,23.2478
3,Pasar Ikan (air),"ARIMA(6,0,4)",Tidak,0.000000,Tidak,0.001000,Tidak,6.6868,22.8554
0,Pasar Ikan (air),"ARIMA(7,0,1)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1482,23.2646
1,Pasar Ikan (air),"ARIMA(7,0,2)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1480,23.2671
2,Pasar Ikan (air),"ARIMA(8,0,1)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1169,23.1821
3,Pasar Ikan (air),"ARIMA(8,0,2)",Error,Error,Error,Error,Error,Error,Error
4,Pasar Ikan (air),"ARIMA(9,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,7.1027,23.1661
5,Pasar Ikan (air),"ARIMA(9,0,2)",Tidak,0.000000,Tidak,0.001000,Tidak,6.6358,22.4653
6,Pasar Ikan (air),"ARIMA(9,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,6.6139,29.8338
7,Pasar Ikan (air),"ARIMA(9,0,4)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1436,23.2644
0,Pasar Ikan (air),"ARIMA(1,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,9.4132,107.9941
1,Pasar Ikan (air),"ARIMA(2,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,8.6949,113.1107
2,Pasar Ikan (air),"ARIMA(3,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,8.1874,Error
3,Pasar Ikan (air),"ARIMA(4,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,17.4488,159.2198
4,Pasar Ikan (air),"ARIMA(5,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,23.6629,104.6654
5,Pasar Ikan (air),"ARIMA(6,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,17.8586,154.1775
6,Pasar Ikan (air),"ARIMA(9,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,25.9109,168.4610
